unit1_x,unit1_y,unit1_z,unit1_yaw,unit2_yaw,road_wheel_angle,curvature,unit1_pitch,unit1_velocity,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y,s
-14.829743,357.884370,228.162595,-1.844501,-1.867162,0.036043,0.007839,-0.004606,2.946521,-12.062897,357.107576,-17.452860,358.620812,0.000000
-14.856575,357.788660,228.163177,-1.843746,-1.866730,0.033770,0.007344,-0.004588,2.934030,-12.089413,357.014031,-17.482485,358.523748,0.099400
-14.883336,357.692930,228.163757,-1.843042,-1.866298,0.031423,0.006833,-0.004569,2.922250,-12.116019,356.920358,-17.512071,358.426813,0.198800
-14.910033,357.597183,228.164335,-1.842389,-1.865865,0.029003,0.006307,-0.004549,2.911167,-12.142664,356.826544,-17.541617,358.330009,0.298200
-14.936669,357.501418,228.164909,-1.841788,-1.865433,0.026512,0.005765,-0.004529,2.900762,-12.169351,356.732585,-17.571122,358.233338,0.397600
-14.963251,357.405638,228.165481,-1.841243,-1.865004,0.023952,0.005208,-0.004509,2.891018,-12.196324,356.638538,-17.600583,358.136810,0.497000
-14.989783,357.309845,228.166050,-1.840754,-1.864578,0.021326,0.004637,-0.004488,2.881914,-12.223549,356.544393,-17.630001,358.040426,0.596400
-15.016270,357.214039,228.166615,-1.840322,-1.864155,0.018634,0.004051,-0.004466,2.873429,-12.250819,356.450090,-17.659373,357.944190,0.695800
-15.042720,357.118222,228.167177,-1.839949,-1.863738,0.015879,0.003452,-0.004444,2.865540,-12.278138,356.355623,-17.688699,357.848105,0.795200
-15.069136,357.022397,228.167736,-1.839636,-1.863327,0.013063,0.002840,-0.004422,2.858223,-12.305626,356.261024,-17.717977,357.752178,0.894600
-15.095525,356.926564,228.168290,-1.839384,-1.862923,0.010189,0.002215,-0.004399,2.851452,-12.333580,356.166371,-17.747207,357.656408,0.994000
-15.121894,356.830725,228.168841,-1.839196,-1.862527,0.007257,0.001578,-0.004376,2.845203,-12.361587,356.071541,-17.776386,357.560806,1.093400
-15.148247,356.734882,228.169388,-1.839071,-1.862140,0.004271,0.000928,-0.004352,2.839447,-12.389646,355.976538,-17.805515,357.465369,1.192800
-15.174591,356.639037,228.169930,-1.839012,-1.861764,0.001231,0.000268,-0.004328,2.834159,-12.417757,355.881354,-17.834590,357.370106,1.292200
-15.200933,356.543191,228.170468,-1.839018,-1.861397,-0.001859,-0.000404,-0.004303,2.829312,-12.446509,355.786152,-17.860943,357.274280,1.391600
-15.227279,356.447346,228.171002,-1.839092,-1.861043,-0.004997,-0.001086,-0.004278,2.824878,-12.475358,355.690776,-17.886984,357.178563,1.491000
-15.253635,356.351504,228.171530,-1.839235,-1.860703,-0.008182,-0.001779,-0.004253,2.820831,-12.504264,355.595213,-17.912975,357.083030,1.590400
-15.280008,356.255666,228.172054,-1.839446,-1.860375,-0.011411,-0.002481,-0.004227,2.817145,-12.533226,355.499463,-17.944177,356.989125,1.689800
-15.306405,356.159835,228.172573,-1.839728,-1.860063,-0.014683,-0.003192,-0.004200,2.813794,-12.562728,355.403655,-17.975755,356.895530,1.789200
-15.332832,356.064013,228.173087,-1.840081,-1.859767,-0.017994,-0.003912,-0.004174,2.810753,-12.592534,355.307723,-18.007457,356.802178,1.888600
-15.359296,355.968201,228.173595,-1.840506,-1.859488,-0.021344,-0.004641,-0.004146,2.807998,-12.622400,355.211598,-18.039282,356.709071,1.988000
-15.385805,355.872401,228.174097,-1.841004,-1.859227,-0.024729,-0.005377,-0.004119,2.805507,-12.652328,355.115278,-18.071247,356.616219,2.087400
-15.412365,355.776615,228.174594,-1.841575,-1.858984,-0.028148,-0.006121,-0.004091,2.803259,-12.682564,355.018831,-18.103336,356.523620,2.186800
-15.438983,355.680845,228.175086,-1.842221,-1.858761,-0.031599,-0.006872,-0.004063,2.801232,-12.713215,354.922284,-18.135566,356.431284,2.286200
-15.465666,355.585093,228.175571,-1.842942,-1.858559,-0.035079,-0.007629,-0.004034,2.799408,-12.744059,354.825575,-18.167932,356.339213,2.385600
-15.492422,355.489362,228.176051,-1.843738,-1.858378,-0.038587,-0.008393,-0.004005,2.797769,-12.775271,354.728756,-18.200449,356.247414,2.485000
-15.519258,355.393653,228.176524,-1.844610,-1.858220,-0.042120,-0.009162,-0.003976,2.796299,-12.806634,354.631763,-18.233106,356.155887,2.584400
-15.546181,355.297969,228.176991,-1.845559,-1.858085,-0.045676,-0.009936,-0.003946,2.794982,-12.838429,354.534674,-18.265918,356.064642,2.683800
-15.573199,355.202311,228.177451,-1.846586,-1.857975,-0.049253,-0.010716,-0.003916,2.793805,-12.870334,354.437397,-18.298890,355.973685,2.783200
-15.600318,355.106682,228.177905,-1.847690,-1.857890,-0.052850,-0.011500,-0.003886,2.792753,-12.902745,354.340048,-18.332009,355.883012,2.882600
-15.627547,355.011085,228.178353,-1.848872,-1.857831,-0.056464,-0.012288,-0.003855,2.791816,-12.935222,354.242502,-18.365293,355.792635,2.982000
-15.654892,354.915520,228.178794,-1.850133,-1.857799,-0.060093,-0.013079,-0.003824,2.790982,-12.968269,354.144899,-18.398739,355.702555,3.081400
-15.682362,354.819991,228.179228,-1.851472,-1.857794,-0.063736,-0.013874,-0.003793,2.790242,-13.001383,354.047102,-18.432347,355.612773,3.180800
-15.709963,354.724500,228.179655,-1.852891,-1.857819,-0.067389,-0.014672,-0.003761,2.789587,-13.035045,353.949246,-18.466119,355.523299,3.280200
-15.737704,354.629050,228.180075,-1.854389,-1.857873,-0.071052,-0.015472,-0.003729,2.789009,-13.068823,353.851210,-18.500063,355.434134,3.379600
-15.765592,354.533642,228.180488,-1.855967,-1.857957,-0.074723,-0.016274,-0.003697,2.788500,-13.103124,353.753110,-18.534176,355.345283,3.479000
-15.793633,354.438279,228.180894,-1.857625,-1.858073,-0.078399,-0.017078,-0.003665,2.788053,-13.137589,353.654846,-18.568461,355.256749,3.578400
-15.821837,354.342965,228.181293,-1.859362,-1.858220,-0.082079,-0.017883,-0.003632,2.787662,-13.172553,353.556521,-18.602928,355.168536,3.677800
-15.850210,354.247700,228.181684,-1.861180,-1.858401,-0.085760,-0.018689,-0.003599,2.787323,-13.207730,353.458046,-18.637568,355.080648,3.777200
-15.878760,354.152488,228.182069,-1.863078,-1.858614,-0.089442,-0.019496,-0.003566,2.787029,-13.243472,353.359532,-18.672387,354.993088,3.876600
-15.907494,354.057332,228.182446,-1.865056,-1.858862,-0.093123,-0.020303,-0.003533,2.786776,-13.279513,353.260902,-18.707393,354.905863,3.976000
-15.936420,353.962234,228.182815,-1.867114,-1.859145,-0.096800,-0.021109,-0.003500,2.786560,-13.315621,353.162088,-18.742578,354.818971,4.075400
-15.965546,353.867197,228.183177,-1.869252,-1.859464,-0.100471,-0.021915,-0.003466,2.786377,-13.346478,353.061454,-18.777955,354.732420,4.174800
-15.994879,353.772224,228.183532,-1.871471,-1.859819,-0.104137,-0.022721,-0.003433,2.786224,-13.376373,352.960289,-18.813516,354.646215,4.274200
-16.024426,353.677317,228.183880,-1.873769,-1.860211,-0.107794,-0.023525,-0.003399,2.786096,-13.406331,352.858910,-18.849266,354.560352,4.373600
-16.054195,353.582480,228.184219,-1.876147,-1.860641,-0.111441,-0.024327,-0.003365,2.785993,-13.436353,352.757314,-18.885214,354.474842,4.473000
-16.084193,353.487714,228.184552,-1.878605,-1.861110,-0.115076,-0.025128,-0.003330,2.785909,-13.466441,352.655497,-18.921352,354.389684,4.572400
-16.114428,353.393024,228.184877,-1.881143,-1.861618,-0.118699,-0.025926,-0.003296,2.785844,-13.497101,352.553622,-18.957683,354.304884,4.671800
-16.144907,353.298413,228.185194,-1.883759,-1.862165,-0.122307,-0.026722,-0.003262,2.785794,-13.528018,352.451595,-18.994217,354.220442,4.771200
-16.175637,353.203882,228.185504,-1.886455,-1.862753,-0.125899,-0.027515,-0.003227,2.785757,-13.559003,352.349346,-19.030939,354.136361,4.870600
-16.206625,353.109436,228.185807,-1.889229,-1.863381,-0.129473,-0.028305,-0.003192,2.785731,-13.590052,352.246881,-19.067869,354.052648,4.970000
-16.237879,353.015077,228.186102,-1.892082,-1.864052,-0.133029,-0.029091,-0.003158,2.785715,-13.621893,352.144433,-19.104996,353.969302,5.069400
-16.269406,352.920810,228.186390,-1.895012,-1.864764,-0.136565,-0.029874,-0.003123,2.785705,-13.653876,352.041797,-19.142338,353.886329,5.168800
-16.301213,352.826636,228.186671,-1.898020,-1.865518,-0.140079,-0.030653,-0.003088,2.785700,-13.686393,351.939099,-19.179876,353.803728,5.268200
